Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
65014,1/12/2019,Shopping Morumbi,Sunga Listrado,5,114,570
65014,1/12/2019,Shopping Morumbi,Casaco Listrado,1,269,269
65016,1/12/2019,Iguatemi Campinas,Sapato Listrado,2,363,726
65016,1/12/2019,Iguatemi Campinas,Casaco,1,250,250
65017,1/12/2019,Shopping SP Market,Gorro Liso,3,92,276
65018,1/12/2019,Rio Mar Shopping Fortaleza,Cueca Estampa,1,66,66
65018,1/12/2019,Rio Mar Shopping Fortaleza,Sunga Xadrez,1,116,116
65018,1/12/2019,Rio Mar Shopping Fortaleza,Casaco Listrado,1,269,269
65019,1/12/2019,Shopping União de Osasco,Polo Xadrez,2,142,284
65019,1/12/2019,Shopping União de Osasco,Tênis Linho,1,294,294
65020,1/12/2019,Shopping Morumbi,Pulseira Listrado,4,79,316
65020,1/12/2019,Shopping Morumbi,Camiseta Xadrez,5,200,1000
65020,1/12/2019,Shopping Morumbi,Camisa Listrado,2,108,216
65024,1/12/2019,Passei das Águas Shopping,Camiseta Estampa,2,196,392
65025,1/12/2019,Shopping Ibirapuera,Calça Xadrez,5,185,925
65025,1/12/2019,Shopping Ibirapuera,Short Listrado,1,102,102
65025,1/12/2019,Shopping Ibirapuera,Meia Listrado,1,37,37
65027,1/12/2019,Norte Shopping,Relógio Listrado,1,218,218
65028,1/12/2019,Iguatemi Campinas,Sapato,5,350,1750
65028,1/12/2019,Iguatemi Campinas,Pulseira Xadrez,1,87,87
65030,1/12/2019,Shopping Iguatemi Fortaleza,Relógio Liso,1,216,216
65030,1/12/2019,Shopping Iguatemi Fortaleza,Camisa Gola V Xadrez,1,107,107
65031,1/12/2019,Shopping Center Interlagos,Meia Liso,4,38,152
65032,1/12/2019,Shopping Iguatemi Fortaleza,Sunga,2,100,200
65032,1/12/2019,Shopping Iguatemi Fortaleza,Pulseira Estampa,3,87,261
65033,1/12/2019,Iguatemi Campinas,Casaco Estampa,1,256,256
65034,1/12/2019,Shopping Vila Velha,Camisa Gola V Liso,4,118,472
65034,1/12/2019,Shopping Vila Velha,Sapato Linho,5,391,1955
65036,1/12/2019,Rio Mar Recife,Calça,1,170,170
65037,1/12/2019,Parque Dom Pedro Shopping,Terno Xadrez,1,709,709
65037,1/12/2019,Parque Dom Pedro Shopping,Gorro Xadrez,1,85,85
65037,1/12/2019,Parque Dom Pedro Shopping,Cueca Xadrez,1,60,60
65037,1/12/2019,Parque Dom Pedro Shopping,Calça Linho,1,211,211
65037,1/12/2019,Parque Dom Pedro Shopping,Camisa Gola V,5,100,500
65038,1/12/2019,Shopping Iguatemi Fortaleza,Sunga Linho,5,149,745
65039,1/12/2019,Rio Mar Shopping Fortaleza,Mochila,2,270,540
65040,1/12/2019,Shopping Morumbi,Sunga Xadrez,1,116,116
65040,1/12/2019,Shopping Morumbi,Gorro Estampa,4,93,372
65043,1/12/2019,Palladium Shopping Curitiba,Casaco,1,250,250
65043,1/12/2019,Palladium Shopping Curitiba,Short Xadrez,1,100,100
65043,1/12/2019,Palladium Shopping Curitiba,Calça,5,170,850
65043,1/12/2019,Palladium Shopping Curitiba,Meia Xadrez,3,41,123
65044,1/12/2019,Shopping SP Market,Camisa Linho,1,141,141
65044,1/12/2019,Shopping SP Market,Short Linho,1,133,133
65045,1/12/2019,Shopping Center Interlagos,Pulseira,2,70,140
65046,1/12/2019,Rio Mar Shopping Fortaleza,Gorro Listrado,2,97,194
65047,1/12/2019,Salvador Shopping,Calça Listrado,1,181,181
65047,1/12/2019,Salvador Shopping,Bermuda Xadrez,5,155,775
65047,1/12/2019,Salvador Shopping,Terno Listrado,3,709,2127
65048,1/12/2019,Bourbon Shopping SP,Tênis Liso,3,266,798
65049,1/12/2019,Iguatemi Esplanada,Terno Linho,5,750,3750
65049,1/12/2019,Iguatemi Esplanada,Gorro Xadrez,1,85,85
65050,1/12/2019,Rio Mar Recife,Camisa Gola V Xadrez,2,107,214
65051,1/12/2019,Novo Shopping Ribeirão Preto,Polo,1,130,130
65053,1/12/2019,Shopping Center Leste Aricanduva,Camisa Gola V Estampa,4,118,472
65054,1/12/2019,Center Shopping Uberlândia,Sunga Linho,5,149,745
65055,1/12/2019,Shopping União de Osasco,Camiseta Estampa,2,196,392
65055,1/12/2019,Shopping União de Osasco,Gorro Listrado,2,97,194
65056,1/12/2019,Iguatemi Campinas,Calça,2,170,340
65056,1/12/2019,Iguatemi Campinas,Bermuda Estampa,1,169,169
65056,1/12/2019,Iguatemi Campinas,Mochila Xadrez,5,283,1415
65057,1/12/2019,Shopping Vila Velha,Pulseira Listrado,2,79,158
65058,1/12/2019,Shopping Ibirapuera,Meia Estampa,2,50,100
65058,1/12/2019,Shopping Ibirapuera,Sunga Estampa,2,120,240
65058,1/12/2019,Shopping Ibirapuera,Gorro Listrado,1,97,97
65060,1/12/2019,Shopping Ibirapuera,Gorro Xadrez,4,85,340
65060,1/12/2019,Shopping Ibirapuera,Calça Liso,1,190,190
65062,1/12/2019,Rio Mar Shopping Fortaleza,Sunga,2,100,200
65062,1/12/2019,Rio Mar Shopping Fortaleza,Camisa Gola V Liso,3,118,354
65062,1/12/2019,Rio Mar Shopping Fortaleza,Mochila Linho,1,311,311
65062,1/12/2019,Rio Mar Shopping Fortaleza,Pulseira Xadrez,2,87,174
65062,1/12/2019,Rio Mar Shopping Fortaleza,Cinto Listrado,1,214,214
65063,1/12/2019,Parque Dom Pedro Shopping,Meia Estampa,1,50,50
65063,1/12/2019,Parque Dom Pedro Shopping,Terno Liso,2,720,1440
65064,1/12/2019,Shopping Recife,Short Linho,2,133,266
65066,1/12/2019,Shopping Ibirapuera,Gorro Linho,1,124,124
65066,1/12/2019,Shopping Ibirapuera,Polo Listrado,1,149,149
65066,1/12/2019,Shopping Ibirapuera,Gorro Xadrez,3,85,255
65068,1/12/2019,Shopping Morumbi,Mochila Listrado,1,275,275
65070,1/12/2019,Ribeirão Shopping,Tênis Estampa,3,256,768
65070,1/12/2019,Ribeirão Shopping,Terno,1,700,700
65070,1/12/2019,Ribeirão Shopping,Camisa,2,100,200
65071,1/12/2019,Shopping Recife,Cueca Xadrez,3,60,180
65071,1/12/2019,Shopping Recife,Camisa,2,100,200
65071,1/12/2019,Shopping Recife,Meia Xadrez,2,41,82
65071,1/12/2019,Shopping Recife,Polo Linho,5,176,880
65071,1/12/2019,Shopping Recife,Short Estampa,4,96,384
65072,1/12/2019,Ribeirão Shopping,Bermuda Liso,5,157,785
65074,1/12/2019,Shopping Center Interlagos,Relógio,1,200,200
65074,1/12/2019,Shopping Center Interlagos,Tênis Liso,1,266,266
65076,1/12/2019,Shopping SP Market,Cueca Linho,1,93,93
65076,1/12/2019,Shopping SP Market,Camiseta Linho,1,223,223
65076,1/12/2019,Shopping SP Market,Tênis Xadrez,1,259,259
65077,1/12/2019,Center Shopping Uberlândia,Cueca Listrado,1,67,67
65080,1/12/2019,Shopping Barra,Cueca Liso,1,69,69
65080,1/12/2019,Shopping Barra,Terno Xadrez,1,709,709
65081,1/12/2019,Iguatemi Esplanada,Relógio Liso,3,216,648
65081,1/12/2019,Iguatemi Esplanada,Cinto Liso,3,209,627
65081,1/12/2019,Iguatemi Esplanada,Bermuda Xadrez,1,155,155
65081,1/12/2019,Iguatemi Esplanada,Cinto Liso,1,209,209
65082,1/12/2019,Novo Shopping Ribeirão Preto,Terno Listrado,4,709,2836
65083,1/12/2019,Shopping Recife,Chinelo Linho,2,105,210
65087,1/12/2019,Shopping Morumbi,Chinelo Estampa,1,74,74
65087,1/12/2019,Shopping Morumbi,Sapato Xadrez,1,368,368
65087,1/12/2019,Shopping Morumbi,Camiseta Xadrez,3,200,600
65087,1/12/2019,Shopping Morumbi,Cueca Linho,3,93,279
65088,1/12/2019,Iguatemi Esplanada,Camiseta Listrado,1,197,197
65089,1/12/2019,Shopping Recife,Casaco Xadrez,3,259,777
65091,1/12/2019,Novo Shopping Ribeirão Preto,Short Listrado,3,102,306
65091,1/12/2019,Novo Shopping Ribeirão Preto,Casaco Xadrez,1,259,259
65093,1/12/2019,Rio Mar Recife,Bermuda Xadrez,3,155,465
65093,1/12/2019,Rio Mar Recife,Calça Listrado,1,181,181
65093,1/12/2019,Rio Mar Recife,Casaco Xadrez,1,259,259
65094,1/12/2019,Shopping SP Market,Sunga,2,100,200
65094,1/12/2019,Shopping SP Market,Camiseta Xadrez,5,200,1000
65095,1/12/2019,Shopping Midway Mall,Pulseira Liso,1,87,87
65096,1/12/2019,Ribeirão Shopping,Mochila Linho,1,311,311
65096,1/12/2019,Ribeirão Shopping,Mochila Liso,1,276,276
65097,1/12/2019,Shopping Recife,Gorro Estampa,3,93,279
65098,1/12/2019,Shopping Iguatemi Fortaleza,Terno Linho,3,750,2250
65098,1/12/2019,Shopping Iguatemi Fortaleza,Meia Linho,2,78,156
65099,1/12/2019,Shopping SP Market,Calça,3,170,510
65099,1/12/2019,Shopping SP Market,Short,3,90,270
65099,1/12/2019,Shopping SP Market,Bermuda Listrado,3,163,489
65100,1/12/2019,Shopping Center Leste Aricanduva,Camisa Gola V Estampa,1,118,118
65100,1/12/2019,Shopping Center Leste Aricanduva,Short,4,90,360
65100,1/12/2019,Shopping Center Leste Aricanduva,Sunga Linho,2,149,298
65100,1/12/2019,Shopping Center Leste Aricanduva,Gorro,4,80,320
65101,1/12/2019,Bourbon Shopping SP,Casaco Linho,3,299,897
65102,1/12/2019,Passei das Águas Shopping,Camisa Gola V Xadrez,2,107,214
65104,1/12/2019,Salvador Shopping,Terno Estampa,5,706,3530
65106,1/12/2019,Rio Mar Recife,Chinelo Xadrez,5,66,330
65106,1/12/2019,Rio Mar Recife,Cinto Estampa,1,209,209
65106,1/12/2019,Rio Mar Recife,Camisa Xadrez,1,105,105
65106,1/12/2019,Rio Mar Recife,Casaco Estampa,4,256,1024
65106,1/12/2019,Rio Mar Recife,Sunga,5,100,500
65106,1/12/2019,Rio Mar Recife,Terno,1,700,700
65108,1/12/2019,Shopping Midway Mall,Meia Estampa,2,50,100
65109,1/12/2019,Passei das Águas Shopping,Camiseta Estampa,5,196,980
65111,1/12/2019,Salvador Shopping,Tênis Linho,1,294,294
65112,1/12/2019,Passei das Águas Shopping,Pulseira Linho,1,114,114
65113,1/12/2019,Novo Shopping Ribeirão Preto,Tênis Liso,1,266,266
65113,1/12/2019,Novo Shopping Ribeirão Preto,Casaco Linho,1,299,299
65114,1/12/2019,Novo Shopping Ribeirão Preto,Sunga Listrado,2,114,228
65115,1/12/2019,Shopping SP Market,Meia Liso,2,38,76
65116,1/12/2019,Novo Shopping Ribeirão Preto,Mochila Estampa,1,277,277
65116,1/12/2019,Novo Shopping Ribeirão Preto,Bermuda Estampa,4,169,676
65117,1/12/2019,Shopping Barra,Cinto Xadrez,1,215,215
65117,1/12/2019,Shopping Barra,Mochila Liso,3,276,828
65118,1/12/2019,Shopping Barra,Sapato,5,350,1750
65118,1/12/2019,Shopping Barra,Calça Linho,1,211,211
65119,1/12/2019,Shopping Morumbi,Mochila Xadrez,2,283,566
65120,1/12/2019,Shopping Midway Mall,Sapato,2,350,700
65121,1/12/2019,Shopping Ibirapuera,Cinto Listrado,4,214,856
65121,1/12/2019,Shopping Ibirapuera,Terno Listrado,1,709,709
65121,1/12/2019,Shopping Ibirapuera,Tênis,3,250,750
65123,1/12/2019,Passei das Águas Shopping,Camiseta Xadrez,2,200,400
65123,1/12/2019,Passei das Águas Shopping,Chinelo Liso,3,71,213
65123,1/12/2019,Passei das Águas Shopping,Camisa Liso,2,105,210
65124,1/12/2019,Shopping Midway Mall,Camisa Gola V Estampa,5,118,590
65125,1/12/2019,Ribeirão Shopping,Relógio Xadrez,2,214,428
65125,1/12/2019,Ribeirão Shopping,Gorro Xadrez,3,85,255
65125,1/12/2019,Ribeirão Shopping,Casaco Listrado,5,269,1345
65125,1/12/2019,Ribeirão Shopping,Cinto Listrado,4,214,856
65126,1/12/2019,Shopping União de Osasco,Sunga Estampa,1,120,120
65126,1/12/2019,Shopping União de Osasco,Calça,1,170,170
65126,1/12/2019,Shopping União de Osasco,Cueca Xadrez,1,60,60
65126,1/12/2019,Shopping União de Osasco,Cinto Liso,3,209,627
65126,1/12/2019,Shopping União de Osasco,Casaco Linho,1,299,299
65126,1/12/2019,Shopping União de Osasco,Chinelo Estampa,2,74,148
65128,1/12/2019,Shopping Vila Velha,Camisa Estampa,1,113,113
65129,1/12/2019,Shopping Vila Velha,Cinto Listrado,2,214,428
65131,1/12/2019,Bourbon Shopping SP,Gorro Xadrez,2,85,170
65131,1/12/2019,Bourbon Shopping SP,Gorro Listrado,4,97,388
65131,1/12/2019,Bourbon Shopping SP,Mochila,2,270,540
65132,1/12/2019,Palladium Shopping Curitiba,Gorro Listrado,2,97,194
65132,1/12/2019,Palladium Shopping Curitiba,Mochila Estampa,2,277,554
65132,1/12/2019,Palladium Shopping Curitiba,Polo Listrado,1,149,149
65132,1/12/2019,Palladium Shopping Curitiba,Polo Estampa,2,138,276
65133,1/12/2019,Salvador Shopping,Polo Listrado,1,149,149
65133,1/12/2019,Salvador Shopping,Calça,1,170,170
65133,1/12/2019,Salvador Shopping,Mochila Xadrez,2,283,566
65135,1/12/2019,Shopping Barra,Camisa Gola V Liso,2,118,236
65136,1/12/2019,Rio Mar Recife,Sunga Xadrez,1,116,116
65136,1/12/2019,Rio Mar Recife,Calça,3,170,510
65137,1/12/2019,Shopping Vila Velha,Polo Linho,4,176,704
65139,1/12/2019,Parque Dom Pedro Shopping,Pulseira Liso,5,87,435
